Occupation title ,2012 ,2014 ,2016 
Management Occupations ,108570 ,112490 ,118020 
Business and Financial Operations Occupations ,69550 ,72410 ,75070 
Computer and Mathematical Occupations ,80180 ,83970 ,87880 
Architecture and Engineering Occupations ,79000 ,81520 ,84300 
"Life, Physical, and Social Science Occupations ",68360 ,70070 ,72930 
Community and Social Service Occupations ,44240 ,45310 ,47200 
Legal Occupations ,98570 ,101110 ,105980 
"Education, Training, and Library Occupations ",51210 ,52210 ,54520 
"Arts, Design, Entertainment, Sports, and Media Occupations ",54490 ,55790 ,58390 
Healthcare Practitioners and Technical Occupations ,73540 ,76010 ,79160 
Healthcare Support Occupations ,27780 ,28820 ,30470 
Protective Service Occupations ,43050 ,43980 ,45810 
Food Preparation and Serving Related Occupations ,21380 ,21980 ,23850 
Building and Grounds Cleaning and Maintenance Occupations ,25670 ,26370 ,28010 
Personal Care and Service Occupations ,24550 ,24980 ,26510 
Sales and Related Occupations ,37990 ,38660 ,40560 
Office and Administrative Support Occupations ,34410 ,35530 ,37260 
"Farming, Fishing, and Forestry Occupations ",24230 ,25160 ,27810 
Construction and Extraction Occupations ,44960 ,46600 ,48900 
"Installation, Maintenance, and Repair Occupations ",43870 ,45220 ,46690 
Production Occupations ,34500 ,35490 ,37190 
Transportation and Material Moving Occupations ,33590 ,34460 ,36070 
