"","X.1","X","ST","STATE","OCC_TITLE","OCC_GROUP","A_MEAN","lon","lat"
"1",2,2,"AL","Alabama","Management Occupations","major",110210,-86.902298,32.3182314
"2",3,3,"AL","Alabama","Chief Executives","detailed",209300,-86.902298,32.3182314
"3",4,4,"AL","Alabama","General and Operations Managers","detailed",122420,-86.902298,32.3182314
"4",5,5,"AL","Alabama","Legislators","detailed",23390,-86.902298,32.3182314
"6",7,7,"AL","Alabama","Marketing Managers","detailed",143590,-86.902298,32.3182314
"7",8,8,"AL","Alabama","Sales Managers","detailed",122120,-86.902298,32.3182314
"8",9,9,"AL","Alabama","Public Relations and Fundraising Managers","detailed",94150,-86.902298,32.3182314
"9",10,10,"AL","Alabama","Administrative Services Managers","detailed",97730,-86.902298,32.3182314
"10",11,11,"AL","Alabama","Computer and Information Systems Managers","detailed",117950,-86.902298,32.3182314
"11",12,12,"AL","Alabama","Financial Managers","detailed",127420,-86.902298,32.3182314
"12",13,13,"AL","Alabama","Industrial Production Managers","detailed",98460,-86.902298,32.3182314
"13",14,14,"AL","Alabama","Purchasing Managers","detailed",108990,-86.902298,32.3182314
"14",15,15,"AL","Alabama","Transportation, Storage, and Distribution Managers","detailed",94670,-86.902298,32.3182314
"15",16,16,"AL","Alabama","Compensation and Benefits Managers","detailed",125350,-86.902298,32.3182314
"16",17,17,"AL","Alabama","Human Resources Managers","detailed",100130,-86.902298,32.3182314
"17",18,18,"AL","Alabama","Training and Development Managers","detailed",122570,-86.902298,32.3182314
"18",19,19,"AL","Alabama","Construction Managers","detailed",88660,-86.902298,32.3182314
"19",20,20,"AL","Alabama","Education Administrators, Preschool and Childcare Center/Program","detailed",45870,-86.902298,32.3182314
"20",21,21,"AL","Alabama","Education Administrators, Elementary and Secondary School","detailed",79410,-86.902298,32.3182314
"21",22,22,"AL","Alabama","Education Administrators, Postsecondary","detailed",104560,-86.902298,32.3182314
"22",23,23,"AL","Alabama","Education Administrators, All Other","detailed",90250,-86.902298,32.3182314
"23",24,24,"AL","Alabama","Architectural and Engineering Managers","detailed",139770,-86.902298,32.3182314
"24",25,25,"AL","Alabama","Food Service Managers","detailed",64350,-86.902298,32.3182314
"25",26,26,"AL","Alabama","Funeral Service Managers","detailed",64180,-86.902298,32.3182314
"26",27,27,"AL","Alabama","Lodging Managers","detailed",48000,-86.902298,32.3182314
"27",28,28,"AL","Alabama","Medical and Health Services Managers","detailed",100260,-86.902298,32.3182314
"28",29,29,"AL","Alabama","Natural Sciences Managers","detailed",105330,-86.902298,32.3182314
"29",30,30,"AL","Alabama","Postmasters and Mail Superintendents","detailed",74640,-86.902298,32.3182314
"30",31,31,"AL","Alabama","Property, Real Estate, and Community Association Managers","detailed",76510,-86.902298,32.3182314
"31",32,32,"AL","Alabama","Social and Community Service Managers","detailed",67670,-86.902298,32.3182314
"32",33,33,"AL","Alabama","Emergency Management Directors","detailed",65750,-86.902298,32.3182314
"33",34,34,"AL","Alabama","Managers, All Other","detailed",101240,-86.902298,32.3182314
"34",35,35,"AL","Alabama","Business and Financial Operations Occupations","major",69890,-86.902298,32.3182314
"35",36,36,"AL","Alabama","Buyers and Purchasing Agents, Farm Products","detailed",62050,-86.902298,32.3182314
"36",37,37,"AL","Alabama","Wholesale and Retail Buyers, Except Farm Products","detailed",53350,-86.902298,32.3182314
"37",38,38,"AL","Alabama","Purchasing Agents, Except Wholesale, Retail, and Farm Products","detailed",65640,-86.902298,32.3182314
"38",39,39,"AL","Alabama","Claims Adjusters, Examiners, and Investigators","detailed",61010,-86.902298,32.3182314
"39",40,40,"AL","Alabama","Insurance Appraisers, Auto Damage","detailed",69730,-86.902298,32.3182314
"40",41,41,"AL","Alabama","Compliance Officers","detailed",67100,-86.902298,32.3182314
"41",42,42,"AL","Alabama","Cost Estimators","detailed",61530,-86.902298,32.3182314
"42",43,43,"AL","Alabama","Human Resources Specialists","detailed",57770,-86.902298,32.3182314
"43",44,44,"AL","Alabama","Labor Relations Specialists","detailed",47030,-86.902298,32.3182314
"44",45,45,"AL","Alabama","Logisticians","detailed",87870,-86.902298,32.3182314
"45",46,46,"AL","Alabama","Management Analysts","detailed",93430,-86.902298,32.3182314
"46",47,47,"AL","Alabama","Meeting, Convention, and Event Planners","detailed",46300,-86.902298,32.3182314
"47",48,48,"AL","Alabama","Fundraisers","detailed",51180,-86.902298,32.3182314
"48",49,49,"AL","Alabama","Compensation, Benefits, and Job Analysis Specialists","detailed",62080,-86.902298,32.3182314
"49",50,50,"AL","Alabama","Training and Development Specialists","detailed",57170,-86.902298,32.3182314
"50",51,51,"AL","Alabama","Market Research Analysts and Marketing Specialists","detailed",59920,-86.902298,32.3182314
"51",52,52,"AL","Alabama","Business Operations Specialists, All Other","detailed",80360,-86.902298,32.3182314
"52",53,53,"AL","Alabama","Accountants and Auditors","detailed",67750,-86.902298,32.3182314
"53",54,54,"AL","Alabama","Appraisers and Assessors of Real Estate","detailed",52040,-86.902298,32.3182314
"54",55,55,"AL","Alabama","Budget Analysts","detailed",77860,-86.902298,32.3182314
"55",56,56,"AL","Alabama","Credit Analysts","detailed",65190,-86.902298,32.3182314
"56",57,57,"AL","Alabama","Financial Analysts","detailed",82530,-86.902298,32.3182314
"57",58,58,"AL","Alabama","Personal Financial Advisors","detailed",125640,-86.902298,32.3182314
"58",59,59,"AL","Alabama","Insurance Underwriters","detailed",57880,-86.902298,32.3182314
"59",60,60,"AL","Alabama","Financial Examiners","detailed",65320,-86.902298,32.3182314
"60",61,61,"AL","Alabama","Credit Counselors","detailed",52010,-86.902298,32.3182314
"61",62,62,"AL","Alabama","Loan Officers","detailed",66680,-86.902298,32.3182314
"62",63,63,"AL","Alabama","Tax Examiners and Collectors, and Revenue Agents","detailed",53800,-86.902298,32.3182314
"63",64,64,"AL","Alabama","Tax Preparers","detailed",33580,-86.902298,32.3182314
"64",65,65,"AL","Alabama","Financial Specialists, All Other","detailed",72640,-86.902298,32.3182314
"65",66,66,"AL","Alabama","Computer and Mathematical Occupations","major",79090,-86.902298,32.3182314
"66",67,67,"AL","Alabama","Computer and Information Research Scientists","detailed",106610,-86.902298,32.3182314
"67",68,68,"AL","Alabama","Computer Systems Analysts","detailed",80230,-86.902298,32.3182314
"68",69,69,"AL","Alabama","Information Security Analysts","detailed",87030,-86.902298,32.3182314
"69",70,70,"AL","Alabama","Computer Programmers","detailed",83450,-86.902298,32.3182314
"70",71,71,"AL","Alabama","Software Developers, Applications","detailed",93340,-86.902298,32.3182314
"71",72,72,"AL","Alabama","Software Developers, Systems Software","detailed",100170,-86.902298,32.3182314
"72",73,73,"AL","Alabama","Web Developers","detailed",58770,-86.902298,32.3182314
"73",74,74,"AL","Alabama","Database Administrators","detailed",79460,-86.902298,32.3182314
"74",75,75,"AL","Alabama","Network and Computer Systems Administrators","detailed",71790,-86.902298,32.3182314
"75",76,76,"AL","Alabama","Computer Network Architects","detailed",98780,-86.902298,32.3182314
"76",77,77,"AL","Alabama","Computer User Support Specialists","detailed",46870,-86.902298,32.3182314
"77",78,78,"AL","Alabama","Computer Network Support Specialists","detailed",61280,-86.902298,32.3182314
"78",79,79,"AL","Alabama","Computer Occupations, All Other","detailed",86670,-86.902298,32.3182314
"79",80,80,"AL","Alabama","Actuaries","detailed",85710,-86.902298,32.3182314
"80",81,81,"AL","Alabama","Operations Research Analysts","detailed",97080,-86.902298,32.3182314
"81",82,82,"AL","Alabama","Statisticians","detailed",63500,-86.902298,32.3182314
"82",83,83,"AL","Alabama","Architecture and Engineering Occupations","major",86800,-86.902298,32.3182314
"83",84,84,"AL","Alabama","Architects, Except Landscape and Naval","detailed",87120,-86.902298,32.3182314
"84",85,85,"AL","Alabama","Landscape Architects","detailed",66020,-86.902298,32.3182314
"85",86,86,"AL","Alabama","Cartographers and Photogrammetrists","detailed",59960,-86.902298,32.3182314
"86",87,87,"AL","Alabama","Surveyors","detailed",54500,-86.902298,32.3182314
"87",88,88,"AL","Alabama","Aerospace Engineers","detailed",115550,-86.902298,32.3182314
"88",89,89,"AL","Alabama","Chemical Engineers","detailed",107200,-86.902298,32.3182314
"89",90,90,"AL","Alabama","Civil Engineers","detailed",78100,-86.902298,32.3182314
"90",91,91,"AL","Alabama","Computer Hardware Engineers","detailed",110050,-86.902298,32.3182314
"91",92,92,"AL","Alabama","Electrical Engineers","detailed",96960,-86.902298,32.3182314
"92",93,93,"AL","Alabama","Electronics Engineers, Except Computer","detailed",105370,-86.902298,32.3182314
"93",94,94,"AL","Alabama","Environmental Engineers","detailed",82580,-86.902298,32.3182314
"94",95,95,"AL","Alabama","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","detailed",97530,-86.902298,32.3182314
"95",96,96,"AL","Alabama","Industrial Engineers","detailed",85940,-86.902298,32.3182314
"96",97,97,"AL","Alabama","Materials Engineers","detailed",101430,-86.902298,32.3182314
"97",98,98,"AL","Alabama","Mechanical Engineers","detailed",88600,-86.902298,32.3182314
"98",99,99,"AL","Alabama","Mining and Geological Engineers, Including Mining Safety Engineers","detailed",84610,-86.902298,32.3182314
"99",100,100,"AL","Alabama","Nuclear Engineers","detailed",124220,-86.902298,32.3182314
"100",101,101,"AL","Alabama","Petroleum Engineers","detailed",137810,-86.902298,32.3182314
"101",102,102,"AL","Alabama","Engineers, All Other","detailed",115160,-86.902298,32.3182314
"102",103,103,"AL","Alabama","Architectural and Civil Drafters","detailed",50690,-86.902298,32.3182314
"103",104,104,"AL","Alabama","Electrical and Electronics Drafters","detailed",56390,-86.902298,32.3182314
"104",105,105,"AL","Alabama","Mechanical Drafters","detailed",58940,-86.902298,32.3182314
