State,OCC_CODE,Occupation_title,OCC_GROUP,Total_employment,Location_quotient,Annual_mean_wage,Annual_Median_wage,Annual_Top10
Alabama,00-0000,All Occupations,total,"1,912,990",1,"42,510","32,100","77,780"
Alabama,11-0000,Management Occupations,major,"70,090",0.73,"110,210","95,870","187,720"
Alabama,11-1011,Chief Executives,detailed,"1,030",0.34,"209,300","196,750",#
Alabama,11-1021,General and Operations Managers,detailed,"26,930",0.9,"122,420","103,030",#
Alabama,11-1031,Legislators,detailed,"1,210",1.66,"23,390","18,560","37,320"
Alabama,11-2011,Advertising and Promotions Managers,detailed,50,0.12,*,*,*
Alabama,11-2021,Marketing Managers,detailed,530,0.19,"143,590","120,270",#
Alabama,11-2022,Sales Managers,detailed,"2,510",0.5,"122,120","109,210","198,540"
Alabama,11-2031,Public Relations and Fundraising Managers,detailed,400,0.46,"94,150","82,380","151,320"
Alabama,11-3011,Administrative Services Managers,detailed,640,0.18,"97,730","88,120","156,240"
Alabama,11-3021,Computer and Information Systems Managers,detailed,"3,260",0.68,"117,950","111,800","175,030"
Alabama,11-3031,Financial Managers,detailed,"4,990",0.67,"127,420","114,350","201,470"
Alabama,11-3051,Industrial Production Managers,detailed,"3,110",1.35,"98,460","93,280","147,160"
Alabama,11-3061,Purchasing Managers,detailed,950,0.97,"108,990","108,330","151,630"
Alabama,11-3071,"Transportation, Storage, and Distribution Managers",detailed,610,0.4,"94,670","89,390","142,540"
Alabama,11-3111,Compensation and Benefits Managers,detailed,90,0.46,"125,350","111,890","196,400"
Alabama,11-3121,Human Resources Managers,detailed,"1,320",0.75,"100,130","94,040","155,280"
Alabama,11-3131,Training and Development Managers,detailed,150,0.35,"122,570","104,980","202,020"
Alabama,11-9021,Construction Managers,detailed,"3,010",0.88,"88,660","82,290","129,530"
Alabama,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,120,0.19,"45,870","36,430","89,000"
Alabama,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"3,460",1.05,"79,410","78,270","102,440"
Alabama,11-9033,"Education Administrators, Postsecondary",detailed,"2,460",1.3,"104,560","87,580","174,950"
Alabama,11-9039,"Education Administrators, All Other",detailed,560,1.21,"90,250","92,590","124,950"
Alabama,11-9041,Architectural and Engineering Managers,detailed,"2,410",0.99,"139,770","132,180","197,080"
Alabama,11-9051,Food Service Managers,detailed,"2,250",0.82,"64,350","60,410","99,290"
Alabama,11-9061,Funeral Service Managers,detailed,280,2.43,"64,180","59,220","101,720"
Alabama,11-9081,Lodging Managers,detailed,520,1.08,"48,000","44,780","70,930"
Alabama,11-9111,Medical and Health Services Managers,detailed,"2,960",0.65,"100,260","88,730","154,090"
Alabama,11-9121,Natural Sciences Managers,detailed,140,0.19,"105,330","101,320","129,730"
Alabama,11-9131,Postmasters and Mail Superintendents,detailed,280,1.4,"74,640","73,660","90,000"
Alabama,11-9141,"Property, Real Estate, and Community Association Managers",detailed,440,0.18,"76,510","67,780","120,670"
Alabama,11-9151,Social and Community Service Managers,detailed,"1,190",0.69,"67,670","61,090","103,200"
Alabama,11-9161,Emergency Management Directors,detailed,180,1.41,"65,750","58,000","104,470"
Alabama,11-9199,"Managers, All Other",detailed,"2,010",0.37,"101,240","98,520","152,610"
Alabama,13-0000,Business and Financial Operations Occupations,major,"72,290",0.73,"69,890","63,200","108,170"
Alabama,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,250,1.57,"62,050","59,590","98,030"
Alabama,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,310,0.21,"53,350","51,680","79,630"
